Date,Open,High,Low,Close,Volume
10/18/2024,220.71,222.28,219.23,220.7,"49,611,871"
10/17/2024,221.59,222.08,217.9,220.89,"50,791,781"
10/16/2024,221.4,222.82,218.93,221.33,"49,632,820"
10/15/2024,220.01,224.26,217.12,219.57,"62,988,793"
10/14/2024,220.13,221.91,213.74,219.16,"86,291,922"
10/11/2024,220.13,223.34,214.38,217.8,"142,628,891"
10/10/2024,241.81,242.79,232.34,238.77,"83,087,055"
10/9/2024,243.82,247.43,239.51,241.05,"66,289,531"
10/8/2024,243.56,246.21,240.56,244.5,"56,303,160"
10/7/2024,249,249.83,240.7,240.83,"68,113,273"
10/4/2024,246.69,250.96,244.58,250.08,"86,726,289"
10/3/2024,244.48,249.79,237.81,240.66,"80,729,242"
10/2/2024,247.55,251.16,241.5,249.02,"93,983,930"
10/1/2024,262.67,263.98,248.53,258.02,"87,397,609"
9/30/2024,259.04,264.86,255.77,261.63,"80,873,375"
9/27/2024,257.38,260.7,254.12,260.46,"70,988,070"
9/26/2024,260.6,261.75,251.53,254.22,"67,142,195"
9/25/2024,252.54,257.05,252.28,257.02,"65,034,320"
9/24/2024,254.08,257.19,249.05,254.27,"88,491,000"
9/23/2024,242.61,250,241.92,250,"86,927,195"
9/20/2024,241.52,243.99,235.92,238.25,"99,879,070"
9/19/2024,234,244.24,232.13,243.92,"102,694,602"
9/18/2024,230.09,235.68,226.88,227.2,"78,010,203"
9/17/2024,229.45,234.57,226.55,227.87,"66,761,641"
9/16/2024,229.3,229.96,223.53,226.78,"54,323,000"
9/13/2024,228,232.67,226.32,230.29,"59,515,113"
9/12/2024,224.66,231.45,223.83,229.81,"72,020,039"
9/11/2024,224.55,228.47,216.8,228.13,"83,548,633"
9/10/2024,220.07,226.4,218.64,226.17,"78,891,133"
9/9/2024,216.2,219.87,213.67,216.27,"67,443,523"
9/6/2024,232.6,233.6,210.51,210.73,"112,177,000"
9/5/2024,223.49,235,222.25,230.17,"119,355,000"
9/4/2024,210.59,222.22,210.57,219.41,"80,651,766"
9/3/2024,215.26,219.9,209.64,210.6,"76,551,800"
8/30/2024,208.63,214.57,207.03,214.11,"63,370,609"
8/29/2024,209.8,214.89,205.97,206.28,"62,308,820"
8/28/2024,209.72,211.84,202.59,205.75,"64,116,352"
8/27/2024,213.25,215.66,206.94,209.21,"62,821,391"
8/26/2024,218.75,219.09,211.01,213.21,"59,301,191"
8/23/2024,214.46,221.48,214.21,220.32,"81,525,211"
8/22/2024,223.82,224.8,210.32,210.66,"79,514,477"
8/21/2024,222.67,224.66,218.86,223.27,"70,145,961"
8/20/2024,224.88,228.22,219.56,221.1,"74,001,188"
8/19/2024,217.07,222.98,214.09,222.72,"76,435,219"
8/16/2024,211.15,219.8,210.8,216.12,"88,765,117"
8/15/2024,205.02,215.88,204.82,214.14,"89,848,531"
8/14/2024,207.39,208.44,198.75,201.38,"70,250,008"
8/13/2024,198.47,208.49,197.06,207.83,"76,247,391"
8/12/2024,199.02,199.26,194.67,197.49,"64,044,898"
8/9/2024,197.05,200.88,195.11,200,"58,648,273"
8/8/2024,195.7,200.7,192.04,198.84,"65,033,871"
8/7/2024,200.77,203.49,191.48,191.76,"71,159,773"
8/6/2024,200.75,202.9,192.67,200.64,"73,783,938"
8/5/2024,185.22,203.88,182,198.88,"100,308,797"
8/2/2024,214.88,216.13,205.78,207.67,"82,880,117"
8/1/2024,227.69,231.87,214.33,216.86,"83,861,906"
7/31/2024,227.9,234.68,226.79,232.07,"67,497,008"
7/30/2024,232.25,232.41,220,222.62,"100,560,305"
7/29/2024,224.9,234.27,224.7,232.1,"129,201,797"
7/26/2024,221.19,222.28,215.33,219.8,"94,604,148"
7/25/2024,216.8,226,216.23,220.25,"100,636,492"
7/24/2024,225.42,225.99,214.71,215.99,"167,942,891"
7/23/2024,253.6,255.76,245.63,246.38,"111,928,203"
7/22/2024,244.21,253.21,243.75,251.51,"101,225,398"
7/19/2024,247.79,249.44,236.83,239.2,"87,403,906"
7/18/2024,251.09,257.14,247.2,249.23,"110,869,000"
7/17/2024,252.73,258.47,246.18,248.5,"115,584,797"
7/16/2024,255.31,258.62,245.8,256.56,"126,332,492"
7/15/2024,255.97,265.6,251.73,252.64,"146,912,891"
7/12/2024,235.8,251.84,233.09,248.23,"155,955,812"
7/11/2024,263.3,271,239.65,241.03,"221,707,297"
7/10/2024,262.8,267.59,257.86,263.26,"128,519,398"
7/9/2024,251,265.61,250.3,262.33,"160,742,500"
7/8/2024,247.71,259.44,244.57,252.94,"157,219,594"
7/5/2024,249.81,252.37,242.46,251.52,"154,501,203"
7/3/2024,234.56,248.35,234.25,246.39,"166,561,500"
7/2/2024,218.89,231.3,218.06,231.26,"205,047,906"
7/1/2024,201.02,213.23,200.85,209.86,"135,691,391"
6/28/2024,199.55,203.2,195.26,197.88,"95,438,070"
6/27/2024,195.17,198.72,194.05,197.42,"72,746,523"
6/26/2024,186.54,197.76,186.36,196.37,"95,737,070"
6/25/2024,184.4,187.97,182.01,187.35,"63,678,273"
6/24/2024,184.97,188.8,182.55,182.58,"61,992,070"
6/21/2024,182.3,183.95,180.69,183.01,"63,029,480"
6/20/2024,184.68,185.21,179.66,181.57,"55,893,141"
6/18/2024,186.56,187.2,182.37,184.86,"68,982,273"
6/17/2024,177.92,188.81,177,187.44,"109,786,094"
6/14/2024,185.8,186,176.92,178.01,"82,038,195"
6/13/2024,188.39,191.08,181.23,182.47,"118,984,094"
6/12/2024,171.12,180.55,169.8,177.29,"90,389,445"
6/11/2024,173.92,174.75,167.41,170.66,"64,761,930"
6/10/2024,176.06,178.57,173.17,173.79,"50,869,680"
6/7/2024,176.13,179.35,175.58,177.48,"56,244,930"
6/6/2024,174.6,179.73,172.73,177.94,"69,887,023"
6/5/2024,175.35,176.15,172.13,175,"57,953,762"
6/4/2024,174.78,177.76,174,174.77,"60,056,340"
6/3/2024,178.13,182.64,174.49,176.29,"68,568,922"
5/31/2024,178.5,180.32,173.82,178.08,"67,314,602"
5/30/2024,178.58,182.67,175.38,178.79,"77,784,758"
5/29/2024,174.19,178.15,173.93,176.19,"54,782,648"
5/28/2024,176.4,178.25,173.16,176.75,"59,736,621"
5/24/2024,174.84,180.08,173.73,179.24,"65,584,477"
5/23/2024,181.8,181.9,173.26,173.74,"71,975,508"
5/22/2024,182.85,183.8,178.12,180.11,"88,313,477"
5/21/2024,175.51,186.88,174.71,186.6,"115,266,492"
5/20/2024,177.56,177.75,173.52,174.95,"61,727,434"
5/17/2024,173.55,179.63,172.75,177.46,"77,445,852"
5/16/2024,174.1,175.79,171.43,174.84,"59,812,219"
5/15/2024,179.9,180,173.11,173.99,"79,662,992"
5/14/2024,174.5,179.49,174.07,177.55,"86,407,422"
5/13/2024,170,175.4,169,171.89,"67,018,898"
5/10/2024,173.05,173.06,167.75,168.47,"72,627,188"
5/9/2024,175.01,175.62,171.37,171.97,"65,950,289"
5/8/2024,171.59,176.06,170.15,174.72,"79,969,484"
5/7/2024,182.4,183.26,177.4,177.81,"75,045,852"
5/6/2024,183.8,187.56,182.2,184.76,"84,390,250"
5/3/2024,182.1,184.78,178.42,181.19,"75,491,539"
5/2/2024,182.86,184.6,176.02,180.01,"89,148,039"
5/1/2024,182,185.86,179.01,179.99,"92,829,719"
4/30/2024,186.98,190.95,182.84,183.28,"127,031,797"
4/29/2024,188.42,198.87,184.54,194.05,"243,869,703"
4/26/2024,168.85,172.12,166.37,168.29,"109,815,695"
4/25/2024,158.96,170.88,158.36,170.18,"126,427,508"
4/24/2024,162.84,167.97,157.51,162.13,"181,178,000"
4/23/2024,143.33,147.26,141.11,144.68,"124,545,102"
4/22/2024,140.56,144.44,138.8,142.05,"107,097,602"
4/19/2024,148.97,150.94,146.22,147.05,"87,074,492"
4/18/2024,151.25,152.2,148.7,149.93,"96,098,828"
4/17/2024,157.64,158.33,153.78,155.45,"82,439,719"
4/16/2024,156.74,158.19,153.75,157.11,"96,999,961"
4/15/2024,170.24,170.69,161.38,161.48,"100,245,297"
4/12/2024,172.34,173.81,170.36,171.05,"64,722,672"
4/11/2024,172.55,175.88,168.51,174.6,"94,515,992"
4/10/2024,173.04,174.93,170.01,171.76,"84,532,406"
4/9/2024,172.91,179.22,171.92,176.88,"103,232,703"
4/8/2024,169.34,174.5,167.79,172.98,"104,423,297"
4/5/2024,169.08,170.86,160.51,164.9,"143,157,594"
4/4/2024,170.07,177.19,168.01,171.11,"123,162,000"
4/3/2024,164.02,168.82,163.28,168.38,"82,950,141"
4/2/2024,164.75,167.69,163.43,166.63,"116,650,602"
4/1/2024,176.17,176.75,170.21,175.22,"81,562,125"
3/28/2024,177.45,179.57,175.3,175.79,"77,654,844"
3/27/2024,181.41,181.91,176,179.83,"81,804,039"
3/26/2024,178.58,184.25,177.38,177.67,"113,186,203"
3/25/2024,168.76,175.24,168.73,172.63,"74,228,625"
3/22/2024,166.69,171.2,166.3,170.83,"75,580,641"
3/21/2024,176.39,178.18,171.8,172.82,"73,178,008"
3/20/2024,173,176.25,170.82,175.66,"83,846,727"
3/19/2024,172.36,172.82,167.42,171.32,"77,271,430"
3/18/2024,170.02,174.72,165.9,173.8,"108,214,398"
3/15/2024,163.16,165.18,160.76,163.57,"97,146,828"
3/14/2024,167.77,171.17,160.51,162.5,"126,325,695"
3/13/2024,173.05,176.05,169.15,169.48,"106,524,492"
3/12/2024,177.77,179.43,172.41,177.54,"87,391,680"
3/11/2024,175.45,182.87,174.8,177.77,"85,391,531"
3/8/2024,181.5,182.73,174.7,175.34,"85,544,641"
3/7/2024,174.35,180.04,173.7,178.65,"102,129,000"
3/6/2024,179.99,181.58,173.7,176.54,"107,920,898"
3/5/2024,183.05,184.59,177.57,180.74,"119,660,797"
3/4/2024,198.73,199.75,186.72,188.14,"134,334,891"
3/1/2024,200.52,204.52,198.5,202.64,"82,243,117"
2/29/2024,204.18,205.28,198.45,201.88,"85,906,969"
2/28/2024,200.42,205.3,198.44,202.04,"99,806,172"
2/27/2024,204.04,205.6,198.26,199.73,"108,645,398"
2/26/2024,192.29,201.78,192,199.4,"111,747,102"
2/23/2024,195.31,197.57,191.5,191.97,"78,841,922"
2/22/2024,194,198.32,191.36,197.41,"92,739,453"
2/21/2024,193.36,199.44,191.95,194.77,"103,844,000"
2/20/2024,196.13,198.6,189.13,193.76,"104,545,797"
2/16/2024,202.06,203.17,197.4,199.95,"111,346,703"
2/15/2024,189.16,200.88,188.86,200.45,"120,831,797"
2/14/2024,185.3,188.89,183.35,188.71,"81,202,992"
2/13/2024,183.99,187.26,182.11,184.02,"86,759,477"
2/12/2024,192.11,194.73,187.28,188.13,"95,498,602"
2/9/2024,190.18,194.12,189.48,193.57,"84,476,352"
2/8/2024,189,191.62,185.58,189.56,"83,034,039"
2/7/2024,188.18,189.79,182.68,187.58,"111,535,203"
2/6/2024,177.21,186.49,177.11,185.1,"122,676,000"
2/5/2024,184.26,184.68,175.01,181.06,"134,294,406"
2/2/2024,185.04,188.69,182,187.91,"110,612,703"
2/1/2024,188.5,189.88,184.28,188.86,"91,843,281"
1/31/2024,187,193.97,185.85,187.29,"103,221,398"
1/30/2024,195.33,196.36,190.61,191.59,"109,982,305"
1/29/2024,185.63,191.48,183.67,190.93,"125,013,102"
1/26/2024,185.5,186.78,182.1,183.25,"107,343,203"
1/25/2024,189.7,193,180.06,182.63,"198,076,797"
1/24/2024,211.88,212.73,206.77,207.83,"123,369,906"
1/23/2024,211.3,215.65,207.75,209.14,"106,605,906"
1/22/2024,212.26,217.8,206.27,208.8,"117,952,492"
1/19/2024,209.99,213.19,207.56,212.19,"102,260,305"
1/18/2024,216.88,217.45,208.74,211.88,"108,595,398"
1/17/2024,214.86,215.67,212.01,215.55,"103,164,398"
1/16/2024,215.1,223.49,212.18,219.91,"115,355,000"
1/12/2024,220.08,225.34,217.15,218.89,"123,043,797"
1/11/2024,230.57,230.93,225.37,227.22,"105,873,602"
1/10/2024,235.1,235.5,231.29,233.94,"91,628,492"
1/9/2024,238.11,238.96,232.04,234.96,"96,705,664"
1/8/2024,236.14,241.25,235.3,240.45,"85,166,578"
1/5/2024,236.86,240.12,234.9,237.49,"92,488,945"
1/4/2024,239.25,242.7,237.73,237.93,"102,629,297"
1/3/2024,244.98,245.68,236.32,238.45,"121,082,602"
1/2/2024,250.08,251.25,244.41,248.42,"104,654,203"
12/29/2023,255.1,255.19,247.43,248.48,"100,891,602"
12/28/2023,263.66,265.13,252.71,253.18,"113,619,906"
12/27/2023,258.35,263.34,257.52,261.44,"106,494,398"
12/26/2023,254.49,257.97,252.91,256.61,"86,892,383"
12/22/2023,256.76,258.22,251.37,252.54,"93,370,086"
12/21/2023,251.9,254.8,248.55,254.5,"109,594,203"
12/20/2023,256.41,259.84,247,247.14,"125,097,000"
12/19/2023,253.48,258.34,253.01,257.22,"106,737,398"
12/18/2023,253.78,258.74,251.36,252.08,"116,416,492"
12/15/2023,251.21,254.13,248.3,253.5,"135,932,797"
12/14/2023,241.22,253.88,240.79,251.05,"160,829,203"
12/13/2023,234.19,240.3,228.2,239.29,"146,286,297"
12/12/2023,238.55,238.99,233.87,237.01,"95,328,312"
12/11/2023,242.74,243.44,237.45,239.74,"97,913,891"
12/8/2023,240.27,245.27,239.27,243.84,"103,126,797"
12/7/2023,241.55,244.08,236.98,242.64,"107,142,305"
12/6/2023,242.92,246.57,239.17,239.37,"126,436,203"
12/5/2023,233.87,246.66,233.7,238.72,"137,971,109"
12/4/2023,235.75,239.37,233.29,235.58,"104,099,797"
12/1/2023,233.14,240.19,231.9,238.83,"121,331,695"
11/30/2023,245.14,245.22,236.91,240.08,"132,353,203"
11/29/2023,249.21,252.75,242.76,244.14,"135,401,297"
11/28/2023,236.68,247,234.01,246.72,"148,549,906"
11/27/2023,236.89,238.33,232.1,236.08,"112,031,797"
11/24/2023,233.75,238.75,232.33,235.45,"65,125,199"
11/22/2023,242.04,244.01,231.4,234.21,"118,117,102"
11/21/2023,235.04,243.62,233.34,241.2,"122,288,000"
11/20/2023,234.04,237.1,231.02,235.6,"116,562,398"
11/17/2023,232,237.39,226.54,234.3,"142,766,203"
11/16/2023,239.49,240.88,230.96,233.59,"136,816,797"
11/15/2023,239.29,246.7,236.45,242.84,"150,354,000"
11/14/2023,235.03,238.14,230.72,237.41,"149,771,594"
11/13/2023,215.6,225.4,211.61,223.71,"140,447,594"
11/10/2023,210.03,215.38,205.69,214.65,"131,310,094"
11/9/2023,219.75,220.8,206.68,209.98,"142,110,500"
11/8/2023,223.15,224.15,217.64,222.11,"106,584,797"
11/7/2023,219.98,223.12,215.72,222.18,"116,900,094"
11/6/2023,223.98,226.32,215,219.27,"117,335,797"
11/3/2023,221.15,226.37,218.4,219.96,"119,534,797"
11/2/2023,212.97,219.2,211.45,218.51,"125,987,602"
11/1/2023,204.04,205.99,197.85,205.66,"121,661,695"
10/31/2023,196.12,202.8,194.07,200.84,"118,068,305"
10/30/2023,209.28,210.88,194.67,197.36,"136,448,188"
10/27/2023,210.6,212.41,205.77,207.3,"94,881,172"
10/26/2023,211.32,214.8,204.88,205.76,"115,112,602"
10/25/2023,215.88,220.1,212.2,212.42,"107,065,102"
10/24/2023,216.5,222.05,214.11,216.52,"118,231,102"
10/23/2023,210,216.98,202.51,212.08,"150,683,391"
10/20/2023,217.01,218.86,210.42,211.99,"138,010,094"
10/19/2023,225.95,230.61,216.78,220.11,"170,772,703"
10/18/2023,252.7,254.63,242.08,242.68,"125,147,797"
